Date,High,Volume,Marketcap
2020-01-01 23:59:59,0.164203950873,3981428.98224252,447666001.802339
2020-01-02 23:59:59,0.161500469672,3753023.10307538,440377785.335353
2020-01-03 23:59:59,0.167602817792,4989335.97285686,463789805.862918
2020-01-04 23:59:59,0.174714289731,5312938.80588227,484229598.819386
2020-01-05 23:59:59,0.175378945879,5642016.52663571,480979947.698273
2020-01-06 23:59:59,0.185326408277,9109464.93044048,508365996.188959
2020-01-07 23:59:59,0.197619177532,10842185.0056065,516165138.36892
2020-01-08 23:59:59,0.190444751062,8308095.22153859,503373467.821051
2020-01-09 23:59:59,0.182256972665,5403819.29412077,495474460.670261
2020-01-10 23:59:59,0.189611953935,7247987.56014574,527032167.981134
2020-01-11 23:59:59,0.19437484764,8003701.31498347,533184837.2921
2020-01-12 23:59:59,0.193092409241,4124154.94904525,531353410.65066
2020-01-13 23:59:59,0.192020499096,3739364.16115832,524941922.90639
2020-01-14 23:59:59,0.216308908709,13990556.1512336,584569640.24294
2020-01-15 23:59:59,0.232288506984,17181225.7210792,645255195.242134
2020-01-16 23:59:59,0.233435137322,11991426.823755,633117786.848121
2020-01-17 23:59:59,0.256099469022,22593602.5833327,664366664.790812
2020-01-18 23:59:59,0.25432346714,19224850.5035365,687163086.036064
2020-01-19 23:59:59,0.248306839635,17651094.8914932,685457699.299411
2020-01-20 23:59:59,0.256368305104,12515267.5788118,700889928.458072
2020-01-21 23:59:59,0.254135483073,11064498.7603827,696016145.962701
2020-01-22 23:59:59,0.25331087262,8834498.07670095,693707306.524428
2020-01-23 23:59:59,0.249674767836,10908245.3939702,654318669.769372
2020-01-24 23:59:59,0.239812601646,7993607.34419313,658962315.701587
2020-01-25 23:59:59,0.237255754869,6757499.13876183,651111893.489355
2020-01-26 23:59:59,0.244976712053,7492007.39323824,680829915.056946
2020-01-27 23:59:59,0.252818950664,9055222.76676975,698491574.091381
2020-01-28 23:59:59,0.287525962587,21035858.9828329,794060378.410965
2020-01-29 23:59:59,0.309011707068,29874958.0228276,842299718.996018
2020-01-30 23:59:59,0.302630952442,25879084.5013991,815752021.352863
2020-01-31 23:59:59,0.294919624958,13380056.0917618,816595054.021745
2020-02-01 23:59:59,0.305175342325,11189601.2550474,848011089.321723
2020-02-02 23:59:59,0.31793142133,18289539.0452629,857466759.980227
2020-02-03 23:59:59,0.368645550858,55125225.2836342,927844292.288569
2020-02-04 23:59:59,0.342606985091,36298174.0176409,920163746.598069
2020-02-05 23:59:59,0.340568059518,33013628.5954449,906015177.356129
2020-02-06 23:59:59,0.344584919178,26353731.7589771,919099632.764385
2020-02-07 23:59:59,0.331325635218,17253948.700071,891890353.610823
2020-02-08 23:59:59,0.321145239142,20175709.2076922,851862459.084458
2020-02-09 23:59:59,0.321492596097,18379098.8214193,892423013.460594
2020-02-10 23:59:59,0.329224511859,24302128.2439642,882312677.685832
2020-02-11 23:59:59,0.334222171111,42128301.0202638,919256918.558722
2020-02-12 23:59:59,0.353311311072,42078416.3073892,928323496.5566
2020-02-13 23:59:59,0.346954670451,36097641.9782552,896387689.405008
2020-02-14 23:59:59,0.325532811048,27153898.7305319,899866942.591163
2020-02-15 23:59:59,0.325601601174,25643898.9393022,803538995.709642
2020-02-16 23:59:59,0.297004331648,24126817.5119264,774688058.939788
2020-02-17 23:59:59,0.283001300213,24045999.5312595,786610684.070408
2020-02-18 23:59:59,0.293662349166,19145123.0314719,816243392.483817
2020-02-19 23:59:59,0.293810578414,17696799.2931188,745226453.871627
2020-02-20 23:59:59,0.270773620409,15899075.9612621,738039620.399257
